File_path,File_name,Instrument,Start_time,End_time,Index,Instrument_encoded,Instrument_0,Instrument_1,Instrument_2,Instrument_3,Instrument_4
/content/drive/MyDrive/Drums/Snare 40 (Roy Ayers - Ebony Blaze (Album Version)).wav,Snare 40 (Roy Ayers - Ebony Blaze (Album Version)),Snare,0,0.1001360544217687,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 41 (Roy Ayers - The Old One Two (Move To Groove)).wav,Snare 41 (Roy Ayers - The Old One Two (Move To Groove)),Snare,0,0.1546938775510204,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 42 (Roy Ayers - No Question (Album Version)).wav,Snare 42 (Roy Ayers - No Question (Album Version)),Snare,0,0.1893424036281179,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 37 (Roy Ayers - Can't You See Me).wav,Kick 37 (Roy Ayers - Can't You See Me),Kick,0,0.41759637188208615,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 38 (Roy Ayers - Can't You See Me).wav,Kick 38 (Roy Ayers - Can't You See Me),Kick,0,0.25873015873015875,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 43 (Roy Ayers - Everytime I See You (Album Version)).wav,Snare 43 (Roy Ayers - Everytime I See You (Album Version)),Snare,0,0.16408163265306122,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 16 (Roy Ayers - Everytime I See You (Album Version)).wav,Open hat 16 (Roy Ayers - Everytime I See You (Album Version)),Open Hat,0,0.6622675736961451,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 44 (Roy Ayers - Everytime I See You (Album Version)).wav,Snare 44 (Roy Ayers - Everytime I See You (Album Version)),Snare,0,0.3422222222222222,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 45 (Roy Ayers - Everytime I See You (Album Version)).wav,Snare 45 (Roy Ayers - Everytime I See You (Album Version)),Snare,0,0.3323809523809524,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 46 (Roy Ayers - Everytime I See You (Album Version)).wav,Snare 46 (Roy Ayers - Everytime I See You (Album Version)),Snare,0,0.16122448979591836,2,0,1.0,0.0,0.0,0.0,0.0
